faa;name;lat;lon;alt;tz;dst;tzone
CYS;Cheyenne Rgnl Jerry Olson Fld;41,15572;-104,81184;6156; -7;A;America/Denver
CYT;Yakataga Airport;60,08190;-142,49361;  12; -9;A;America/Anchorage
CZF;Cape Romanzof Lrrs;61,78030;-166,03875; 457; -9;A;America/Anchorage
CZG;Tri-Cities;42,04710; -76,05780; 833; -5;A;America/New_York
CZN;Chisana Airport;62,07111;-142,04833;1011; -9;A;America/Anchorage
DAB;Daytona Beach Intl;29,17992; -81,05806;  34; -5;A;America/New_York
DAL;Dallas Love Fld;32,84711; -96,85178; 487; -6;A;America/Chicago
DAW;Skyhaven Airport;43,28406; -70,92928; 321; -5;A;America/New_York
DAY;James M Cox Dayton Intl;39,90237; -84,21937;1009; -5;A;America/New_York
DBN;W H Barron Field;32,33880; -82,59100; 311; -5;A;America/New_York
DBQ;Dubuque Rgnl;42,40200; -90,70947;1076; -6;A;America/Chicago
DCA;Ronald Reagan Washington Natl;38,85208; -77,03772;  15; -5;A;America/New_York
DDC;Dodge City Regional Airport;37,76340; -99,96560;2594; -6;A;America/Chicago
DEC;Decatur;39,83456; -88,86569; 682; -6;A;America/Chicago
DEN;Denver Intl;39,86166;-104,67318;5431; -7;A;America/Denver
DET;Coleman A Young Muni;42,40919; -83,00986; 626; -5;A;America/New_York
DFW;Dallas Fort Worth Intl;32,89683; -97,03800; 607; -6;A;America/Chicago
DGL;Douglas Municipal Airport;31,34260;-109,50645;4173; -7;N;America/Phoenix
DHB;Deer Harbor Seaplane;48,61840;-123,00596;   0; -8;A;America/Los_Angeles
DHN;Dothan Rgnl;31,32134; -85,44963; 401; -6;A;America/Chicago
DHT;Dalhart Muni;36,02259;-102,54728;3991; -6;A;America/Chicago
DIK;Dickinson Theodore Roosevelt Regional Airport;46,79750;-102,80194;2592; -7;A;America/Denver
DKB;De Kalb Taylor Municipal Airport;41,93383; -88,70569; 914; -6;U;America/Chicago
DKK;Chautauqua County-Dunkirk Airport;42,49334; -79,27204; 693; -5;A;America/New_York
DKX;Knoxville Downtown Island Airport;35,96383; -83,87367; 833; -5;A;America/New_York
DLF;Laughlin Afb;29,35949;-100,77797;1082; -6;A;America/Chicago
DLG;Dillingham;59,04467;-158,50550;  74; -9;A;America/Anchorage
DLH;Duluth Intl;46,84209; -92,19365;1428; -6;A;America/Chicago
DLL;Baraboo Wisconsin Dells Airport;43,52178; -89,77093; 979; -6;A;America/Chicago
DMA;Davis Monthan Afb;32,16647;-110,88314;2704; -7;A;America/Phoenix
DNL;Daniel Field Airport;33,46650; -82,03938; 423; -5;A;America/New_York
DNN;Dalton Municipal Airport;34,72294; -84,87025; 709; -5;A;America/New_York
DNV;Vermilion Regional;40,19969; -87,59553; 696; -6;A;America/Chicago
DOV;Dover Afb;39,12954; -75,46596;  28; -5;A;America/New_York
DPA;Dupage;41,90778; -88,24861; 758; -6;A;America/Chicago
DQH;Douglas Municipal Airport;31,47674; -82,86057; 257; -5;A;America/New_York
DRG;Deering Airport;66,06960;-162,76600;  21; -9;A;America/Anchorage
DRI;Beauregard Rgnl;30,83172; -93,33992; 202; -6;A;America/Chicago
DRM;Drummond Island Airport;46,00931; -83,74393; 668; -5;A;America/New_York
DRO;Durango La Plata Co;37,15152;-107,75377;6685; -7;A;America/Denver
DRT;Del Rio Intl;29,37421;-100,92716;1002; -6;A;America/Chicago
DSM;Des Moines Intl;41,53397; -93,66308; 958; -6;A;America/Chicago
DTA;Delta Municipal Airport;39,38064;-112,50771;4759; -7;A;America/Denver
DTS;Destin;30,40006; -86,47148;  23; -6;A;America/Chicago
DTW;Detroit Metro Wayne Co;42,21244; -83,35339; 645; -5;A;America/New_York
DUC;Halliburton Field Airport;34,47131; -97,95986;1114; -6;A;America/Chicago
DUG;Bisbee Douglas Intl;31,46903;-109,60367;4154; -7;A;America/Phoenix
DUJ;DuBois Regional Airport;41,17830; -78,89870;1817; -5;A;America/New_York
DUT;Unalaska;53,90014;-166,54350;  22; -9;A;America/Anchorage
DVL;Devils Lake Regional Airport;48,11444; -98,90861;1445; -6;A;America/Chicago
DVT;Deer Valley Municipal Airport;33,41170; 112,45700;1478;  8;A;Asia/Chongqing
DWA;Yolo County Airport;38,57939;-121,85694; 100; -8;A;America/Los_Angeles
DWH;David Wayne Hooks Field;30,06375; -95,55428; 152; -6;A;America/Chicago
DWS;Orlando;28,39800; -81,57000; 340; -5;A;America/New_York
DXR;Danbury Municipal Airport;41,37154; -73,48219; 458; -5;A;America/New_York
DYS;Dyess Afb;32,42076; -99,85460;1789; -6;A;America/Chicago
E25;Wickenburg Municipal Airport;33,96890;-112,79900;2377; -7;A;America/Phoenix
E51;Bagdad Airport;34,59585;-113,17020;4183; -7;A;America/Phoenix
E55;Ocean Ridge Airport;38,80161;-123,53064; 940; -8;A;America/Los_Angeles
E63;Gila Bend Municipal Airport;32,96017;-112,67364; 789; -7;U;America/Phoenix
E91;Chinle Municipal Airport;36,11088;-109,57542;5547; -7;N;America/Denver
EAA;Eagle Airport;64,77806;-141,14972; 908; -9;A;America/Anchorage
EAR;Kearney Municipal Airport;40,72700; -99,00680;2131; -6;A;America/Chicago
EAT;Pangborn Field;47,39800;-120,20600;1249; -8;A;America/Los_Angeles
EAU;Chippewa Valley Regional Airport;44,86580; -91,48430; 913; -6;A;America/Chicago
ECA;Iosco County;44,31100; -83,42200; 606; -5;A;America/New_York
ECG;Elizabeth City Cgas Rgnl;36,26058; -76,17457;  12; -5;A;America/New_York
ECP;Panama City-NW Florida Bea.;30,34170; -85,79730;  69; -6;A;America/Chicago
EDF;Elmendorf Afb;61,25099;-149,80650; 212; -9;A;America/Anchorage
EDW;Edwards Afb;34,90542;-117,88374;2302; -8;A;America/Los_Angeles
EEK;Eek Airport;60,21361;-162,04389;  15; -9;A;America/Anchorage
EEN;Dillant Hopkins Airport;72,27083;  42,89833; 149; -5;A;\N
EET;Shelby County Airport;33,17778; -86,78322; 586; -6;A;America/Chicago
EFD;Ellington Fld;29,60733; -95,15875;  32; -6;A;America/Chicago
EGA;Eagle County Airport;39,64276;-106,91593;6548; -7;U;America/Denver
EGE;Eagle Co Rgnl;39,64256;-106,91769;6540; -7;A;America/Denver
EGT;Wellington Municipal;37,39411; -97,42323;1277; -6;A;America/Chicago
EGV;Eagle River;45,93233; -89,26828;1642; -6;A;America/Chicago
EGX;Egegik Airport;58,18556;-157,37556;  92; -9;A;America/Anchorage
EHM;Cape Newenham Lrrs;58,64643;-162,06278; 541; -9;A;America/Anchorage
EIL;Eielson Afb;64,66567;-147,10150; 548; -9;A;America/Anchorage
EKI;Elkhart Municipal;41,71944; -86,00333; 778; -5;A;America/New_York
EKN;Elkins Randolph Co Jennings Randolph;38,88944; -79,85714;1987; -5;A;America/New_York
EKO;Elko Regional Airport;40,82490;-115,79200;5140; -8;A;America/Los_Angeles
EKY;Bessemer;33,18760; -86,55580; 700; -6;A;America/Chicago
ELD;South Arkansas Rgnl At Goodwin Fld;33,22097; -92,81328; 277; -6;A;America/Chicago
ELI;Elim Airport;64,61500;-162,27056; 162; -9;A;America/Anchorage
ELM;Elmira Corning Rgnl;42,15989; -76,89161; 954; -5;A;America/New_York
ELP;El Paso Intl;31,80725;-106,37758;3958; -7;A;America/Denver
ELV;Elfin Cove Seaplane Base;58,19528;-136,34750;   0; -9;A;America/Anchorage
ELY;Ely Airport;39,29972;-114,84194;6259; -8;A;America/Los_Angeles
EMK;Emmonak Airport;62,78611;-164,49083;  13; -9;A;America/Anchorage
EMP;Emporia Municipal Airport;38,33210; -96,19120;1208; -6;A;America/Chicago
ENA;Kenai Muni;60,57311;-151,24500;  99; -9;A;America/Anchorage
END;Vance Afb;36,33917; -97,91650;1307; -6;A;America/Chicago
ENV;Wendover;40,71869;-114,03089;4237; -7;A;America/Denver
ENW;Kenosha Regional Airport;42,59569; -87,92781; 742; -6;A;America/Chicago
EOK;Keokuk Municipal Airport;40,45991; -91,42850; 671; -6;A;America/Chicago
EPM;Eastport Municipal Airport;44,91011; -67,01269;  45; -5;A;America/New_York
EQY;Monroe Reqional Airport;35,01833; -80,62001; 679; -5;A;America/New_York
ERI;Erie Intl Tom Ridge Fld;42,08202; -80,17622; 733; -5;A;America/New_York
ERV;Kerrville Municipal Airport;29,97667; -99,08547;1617; -6;A;America/Chicago
ERY;Luce County Airport;46,31120; -85,45730; 869; -5;A;America/New_York
ESC;Delta County Airport;45,72278; -87,09361; 609; -5;A;America/New_York
ESD;Orcas Island Airport;48,70806;-122,91056;  31; -8;A;America/Los_Angeles
ESF;Esler Rgnl;31,39490; -92,29577; 112; -6;A;America/Chicago
ESN;Easton-Newnam Field Airport;38,80417; -76,06900;  72; -5;A;America/New_York
EUF;Weedon Field;31,57080; -85,07740; 285; -6;A;America/Chicago
EUG;Mahlon Sweet Fld;44,12458;-123,21197; 374; -8;A;America/Los_Angeles
EVV;Evansville Regional;38,03700; -87,53236; 418; -6;A;America/Chicago
EVW;Evanston-Uinta CO Burns Fld;41,16490;-111,02080;7143; -7;A;America/Denver
EWB;New Bedford Regional Airport;41,67610; -70,95690;  80; -5;A;America/New_York
EWK;Newton City-County Airport;38,05708; -97,27523;1533; -6;A;America/Chicago
EWN;Craven Co Rgnl;35,07297; -77,04294;  18; -5;A;America/New_York
EWR;Newark Liberty Intl;40,69250; -74,16867;  18; -5;A;America/New_York
EXI;Excursion Inlet Seaplane Base;58,42056;-135,44917;   0; -9;A;America/Anchorage
EYW;Key West Intl;24,55611; -81,75956;   3; -5;A;America/New_York
F57;Seaplane Base;28,05750; -81,76281; 140; -5;A;America/New_York
FAF;Felker Aaf;37,13250; -76,60884;  12; -5;A;America/New_York
FAI;Fairbanks Intl;64,81511;-147,85627; 434; -9;A;America/Anchorage
FAR;Hector International Airport;46,92065; -96,81576; 902; -6;A;America/Chicago
FAT;Fresno Yosemite Intl;36,77619;-119,71814; 336; -8;A;America/Los_Angeles
FAY;Fayetteville Regional Grannis Field;34,99120; -78,88030; 189; -5;A;America/New_York
FBG;Fredericksburg Amtrak Station;38,29842; -77,45687; 130; -5;A;America/New_York
FBK;Ladd Aaf;64,83750;-147,61444; 454; -9;A;America/Anchorage
FBR;Fort Bridger;41,23600;-110,24360;7038; -7;A;America/Denver
FBS;Friday Harbor Seaplane Base;48,53722;-123,00972;   0; -8;A;America/Los_Angeles
FCA;Glacier Park Intl;48,31047;-114,25600;2977; -7;A;America/Denver
FCM;Flying Cloud Airport;44,49380; -93,27260; 906; -6;A;America/Chicago
FCS;Butts Aaf;38,67839;-104,75658;5838; -7;A;America/Denver
FDW;Fairfield County Airport;34,31547; -81,10881; 577; -5;A;America/New_York
FDY;Findlay Airport;41,01203; -83,66861; 819; -5;U;America/New_York
FFA;First Flight Airport;36,02000; -75,67000;  13; -5;A;America/New_York
FFC;Atlanta Regional Airport - Falcon Field;33,35725; -84,57183; 808; -5;A;America/New_York
FFO;Wright Patterson Afb;39,82611; -84,04833; 823; -5;A;America/New_York
FFT;Capital City Airport;38,18197; -84,90614; 812; -5;A;America/New_York
FFZ;Mesa Falcon Field;33,46080;-111,72800;1394; -7;A;America/Phoenix
FHU;Sierra Vista Muni Libby Aaf;31,58847;-110,34439;4719; -7;A;America/Phoenix
FIT;Fitchburg Municipal Airport;42,55411; -71,75897; 348; -5;A;America/New_York
FKL;Franklin;41,37787; -79,86036;1540; -5;A;America/New_York
FLD;Fond Du Lac County Airport;43,77117; -88,48842; 808; -6;A;America/Chicago
FLG;Flagstaff Pulliam Airport;35,14032;-111,66924;7015; -7;N;America/Phoenix
FLL;Fort Lauderdale Hollywood Intl;26,07258; -80,15275;   9; -5;A;America/New_York
FLO;Florence Rgnl;34,18536; -79,72389; 146; -5;A;America/New_York
FLV;Sherman Aaf;39,36833; -94,91469; 772; -6;A;America/Chicago
FME;Tipton;39,08539; -76,75941; 150; -5;A;America/New_York
FMH;Otis Angb;41,65844; -70,52142; 131; -5;A;America/New_York
FMN;Four Corners Rgnl;36,74125;-108,22994;5506; -7;A;America/Denver
FMY;Page Fld;26,58661; -81,86325;  17; -5;A;America/New_York
FNL;Fort Collins Loveland Muni;40,45183;-105,01134;5016; -7;A;America/Denver
FNR;Funter Bay Seaplane Base;58,25444;-134,89778;   0; -9;A;America/Anchorage
FNT;Bishop International;42,96542; -83,74363; 782; -5;A;America/New_York
FOD;Fort Dodge Rgnl;42,55120; -94,19184;1157; -6;A;America/Chicago
FOE;Forbes Fld;38,95094; -95,66361;1078; -6;A;America/Chicago
FOK;Francis S Gabreski;40,84366; -72,63179;  67; -5;A;America/New_York
FRD;Friday Harbor Airport;48,52194;-123,02444; 113; -8;A;America/Los_Angeles
FRI;Marshall Aaf;39,05528; -96,76445;1063; -6;A;America/Chicago
FRN;Bryant Ahp;61,26638;-149,65312; 378; -9;A;America/Anchorage
FRP;St Lucie County International Airport;27,49747; -80,37264;  23; -5;A;America/New_York
FSD;Sioux Falls;43,58201; -96,74191;1429; -6;A;America/Chicago
FSI;Henry Post Aaf;34,64983; -98,40217;1189; -6;A;America/Chicago
FSM;Fort Smith Rgnl;35,33658; -94,36744; 469; -6;A;America/Chicago
FST;Fort Stockton Pecos Co;30,91567;-102,91614;3011; -6;A;America/Chicago
FTK;Godman Aaf;37,90706; -85,97211; 756; -5;A;America/New_York
FTW;Fort Worth Meacham Intl;32,81978; -97,36244; 710; -6;A;America/Chicago
FTY;Fulton County Airport Brown Field;33,77910; -84,52140; 841; -5;A;America/New_York
FUL;Fullerton Municipal Airport;33,52193;-117,58472;  96; -8;A;America/Los_Angeles
FWA;Fort Wayne;40,97847; -85,19514; 815; -5;A;America/New_York
FXE;Fort Lauderdale Executive;26,19728; -80,17071;  13; -5;A;America/New_York
FYU;Fort Yukon;66,57149;-145,25042; 433; -9;A;America/Anchorage
FYV;Drake Fld;36,00509; -94,17006;1251; -6;A;America/Chicago
FZG;Fitzgerald Municipal Airport;31,68390; -83,27090; 365; -5;A;America/New_York
FZI;Fostoria Metropolitan Airport;41,19083; -83,39308; 752; -5;A;America/New_York
GAD;Northeast Alabama Regional Airport;33,97265; -86,08908; 569; -6;A;America/Chicago
GAI;Montgomery County Airpark;39,10060; -77,09576;   0; -5;A;America/New_York
GAL;Edward G Pitka Sr;64,73618;-156,93742; 152; -9;A;America/Anchorage
GAM;Gambell Airport;63,76680;-171,73300;  27; -9;A;America/Anchorage
GBN;Great Bend Municipal;38,34417; -98,85917;1887; -6;A;America/Chicago
GCC;Gillette-Campbell County Airport;44,34892;-105,53936;4365; -7;A;America/Denver
GCK;Garden City Rgnl;37,92753;-100,72442;2891; -6;A;America/Chicago
GCN;Grand Canyon National Park Airport;35,95236;-112,14697;6609; -7;N;America/Phoenix
GCW;Grand Canyon West Airport;35,59250;-113,48590;4825; -7;U;America/Phoenix
GDV;Dawson Community Airport;47,13861;-104,80722; 749; -7;A;America/Denver
GDW;Gladwin Zettel Memorial Airport;43,97059; -84,47502; 774; -5;A;America/New_York
GED;Sussex Co;38,68919; -75,35889;  50; -5;A;America/New_York
GEG;Spokane Intl;47,61986;-117,53383;2376; -8;A;America/Los_Angeles
GEU;Glendale Municipal Airport;33,52692;-112,29514;1071; -7;N;America/Phoenix
GFK;Grand Forks Intl;47,94926; -97,17611; 845; -6;A;America/Chicago
GFL;Floyd Bennett Memorial Airport;43,34122; -73,61030; 328; -5;A;America/New_York
GGE;Georgetown County Airport;33,31140; -79,32031;  40; -5;A;America/New_York
GGG;East Texas Rgnl;32,38401; -94,71149; 365; -6;A;America/Chicago
GGW;Wokal Field Glasgow International Airport;48,21250;-106,61500;2296; -7;A;America/Denver
GHG;Marshfield Municipal Airport;42,09825; -70,67214;   9; -5;A;America/New_York
GIF;Gilbert Airport;28,06278; -81,75333; 145; -5;A;America/New_York
GJT;Grand Junction Regional;39,12241;-108,52674;4858; -7;A;America/Denver
GKN;Gulkana;62,15489;-145,45664;1580; -9;A;America/Anchorage
GKY;Arlington Municipal;32,66386; -97,09428; 628; -6;A;America/Chicago
GLD;Renner Fld;39,37062;-101,69899;3656; -7;A;America/Denver
GLH;Mid Delta Regional Airport;33,48290; -90,98560; 131; -6;A;America/Chicago
GLS;Scholes Intl At Galveston;29,26532; -94,86041;   6; -6;A;America/Chicago
GLV;Golovin Airport;64,55056;-163,00722;  59; -9;A;America/Anchorage
GNT;Grants Milan Muni;35,16729;-107,90199;6537; -7;A;America/Denver
GNU;Goodnews Airport;59,11750;-161,57750;  15; -9;A;America/Anchorage
GNV;Gainesville Rgnl;29,69006; -82,27178; 152; -5;A;America/New_York
GON;Groton New London;41,33006; -72,04514;   9; -5;A;America/New_York
GPT;Gulfport-Biloxi;30,40728; -89,07011;  28; -6;A;America/Chicago
GPZ;Grand Rapids Itasca County;47,21111; -93,50972; 413; -6;A;America/Chicago
GQQ;Galion Municipal Airport;40,75339; -82,72381;1224; -5;A;America/New_York
GRB;Austin Straubel Intl;44,48507; -88,12959; 695; -6;A;America/Chicago
GRF;Gray Aaf;47,07922;-122,58078; 302; -8;A;America/Los_Angeles
GRI;Central Nebraska Regional Airport;40,96750; -98,30960;1847; -6;A;America/Chicago
GRK;Robert Gray Aaf;31,06725; -97,82892;1015; -6;A;America/Chicago
GRM;Grand Marais Cook County Airport;47,83833; -90,38294;1799; -6;U;America/Chicago
GRR;Gerald R Ford Intl;42,88083; -85,52281; 794; -5;A;America/New_York
GSB;Seymour Johnson Afb;35,33938; -77,96059; 110; -5;A;America/New_York
GSO;Piedmont Triad;36,09775; -79,93731; 925; -5;A;America/New_York
GSP;Greenville-Spartanburg International;34,89556; -82,21889; 964; -5;A;America/New_York
GST;Gustavus Airport;58,42530;-135,70700;  34; -9;A;America/Anchorage
GTB;Wheeler Sack Aaf;44,05562; -75,71946; 690; -5;A;America/New_York
GTF;Great Falls Intl;47,48200;-111,37069;3677; -7;A;America/Denver
GTR;Golden Triangle Regional Airport;33,45033; -88,59136; 264; -6;A;America/Chicago
GTU;Georgetown Municipal Airport;30,67881; -97,67938; 790; -6;A;America/Chicago
GUC;Gunnison - Crested Butte;38,53389;-106,93306;7678; -7;A;America/Denver
GUP;Gallup Muni;35,51106;-108,78931;6472; -7;A;America/Denver
GUS;Grissom Arb;40,64809; -86,15212; 812; -5;A;America/New_York
GVL;Lee Gilmer Memorial Airport;34,27263; -83,83022;1276; -5;A;America/New_York
GVQ;Genesee County Airport;43,03175; -78,16967; 914; -5;A;America/New_York
GVT;Majors;33,06784; -96,06533; 535; -6;A;America/Chicago
GWO;Greenwood Leflore;33,49433; -90,08471; 162; -6;A;America/Chicago
GYY;Gary Chicago International Airport;41,61630; -87,41280; 591; -6;A;America/Chicago
HBG;Hattiesburg Bobby L. Chain Municipal Airport;31,26494; -89,25289; 151; -6;A;America/Chicago
HBR;Hobart Muni;34,99131; -99,05135;1564; -6;A;America/Chicago
HCC;Columbia County;42,29130; -73,71030; 198; -5;A;America/New_York
HCR;Holy Cross Airport;62,18830;-159,77500;  70; -9;A;America/Anchorage
HDH;Dillingham;21,57947;-158,19728;  14;-10;A;Pacific/Honolulu
HDI;Hardwick Field Airport;35,22000; -84,83237; 874; -5;A;America/New_York
HDN;Yampa Valley;40,48118;-107,21766;6602; -7;A;America/Denver
HDO;Hondo Municipal Airport;29,35910; -99,17750; 930; -6;A;America/Chicago
HFD;Hartford Brainard;41,73672; -72,64944;  18; -5;A;America/New_York
HGR;Hagerstown Regional Richard A Henson Field;39,70790; -77,72950; 704; -5;A;America/New_York
HHH;Hilton Head;32,21600; -80,75200;  10; -5;U;America/New_York
HHI;Wheeler Aaf;21,48350;-158,03967; 837;-10;A;Pacific/Honolulu
HHR;Jack Northrop Fld Hawthorne Muni;33,92284;-118,33519;  66; -8;A;America/Los_Angeles
HIB;Chisholm Hibbing;47,38660; -92,83899;1353; -6;A;America/Chicago
HIF;Hill Afb;41,12394;-111,97304;4789; -7;A;America/Denver
HII;Lake Havasu City Airport;34,57111;-114,35828; 783; -7;N;America/Phoenix
HIO;Portland Hillsboro;45,54039;-122,94983; 204; -8;A;America/Los_Angeles
HKB;Healy River Airport;63,86750;-148,96889;1263; -9;A;America/Anchorage
HKY;Hickory Rgnl;35,74115; -81,38955;1189; -5;A;America/New_York
HLG;Wheeling Ohio County Airport;40,17500; -80,64630;1195; -5;A;America/New_York
HLN;Helena Rgnl;46,60681;-111,98275;3877; -7;A;America/Denver
HLR;Hood Aaf;31,13873; -97,71447; 924; -6;A;America/Chicago
HMN;Holloman Afb;32,85252;-106,10653;4093; -7;A;America/Denver
HNH;Hoonah Airport;58,09611;-135,40972;  19; -9;A;America/Anchorage
HNL;Honolulu Intl;21,31868;-157,92243;  13;-10;N;Pacific/Honolulu
HNM;Hana;20,79564;-156,01444;  78;-10;A;Pacific/Honolulu
HNS;Haines Airport;59,24380;-135,52400;  15; -9;A;America/Anchorage
HOB;Lea Co Rgnl;32,68753;-103,21703;3661; -7;A;America/Denver
HOM;Homer;59,64556;-151,47658;  84; -9;A;America/Anchorage
HON;Huron Rgnl;44,38520; -98,22854;1289; -6;A;America/Chicago
HOP;Campbell Aaf;36,66857; -87,49618; 573; -6;A;America/Chicago
HOT;Memorial Field;34,47800; -93,09620; 540; -6;A;America/Chicago
HOU;William P Hobby;29,64542; -95,27889;  46; -6;A;America/Chicago
HPB;Hooper Bay Airport;61,52390;-166,14700;   7; -9;A;America/Anchorage
HPN;Westchester Co;41,06696; -73,70758; 439; -5;A;America/New_York
HQM;Bowerman Field;46,97119;-123,93656;  18; -8;A;America/Los_Angeles
HQU;McDuffie County Airport;33,52973; -82,51695; 501; -5;A;America/New_York
HRL;Valley Intl;26,22850; -97,65439;  36; -6;A;America/Chicago
HRO;Boone Co;36,26152; -93,15473;1365; -6;A;America/Chicago
HRT;Hurlburt Fld;30,42780; -86,68928;  38; -6;A;America/Chicago
HSH;Henderson Executive Airport;35,97278;-115,13444;1881; -8;A;America/Los_Angeles
HSL;Huslia Airport;65,69778;-156,35139; 213; -9;A;America/Anchorage
HST;Homestead Arb;25,48855; -80,38357;   6; -5;A;America/New_York
HSV;Huntsville International Airport-Carl T Jones Field;34,63719; -86,77506; 629; -6;A;America/Chicago
HTL;Roscommon Co;44,35981; -84,67111;1150; -5;A;America/New_York
HTS;Tri State Milton J Ferguson Field;38,36670; -82,55800; 828; -5;A;America/New_York
HUA;Redstone Aaf;34,67865; -86,68478; 685; -6;A;America/Chicago
HUF;Terre Haute Intl Hulman Fld;39,45146; -87,30756; 589; -5;A;America/New_York
HUL;Houlton Intl;46,12308; -67,79206; 489; -5;A;America/New_York
HUS;Hughes Airport;66,03917;-154,26472; 299; -9;A;America/Anchorage
HUT;Hutchinson Municipal Airport;38,06550; -97,86060;1543; -6;A;America/Chicago
HVN;Tweed-New Haven Airport;41,26375; -72,88681;  14; -5;A;America/New_York
HVR;Havre City Co;48,54298;-109,76234;2590; -7;A;America/Denver
HWD;Hayward Executive Airport;37,65889;-122,12167;  52; -8;A;America/Los_Angeles
HWO;North Perry;26,00122; -80,24072;   8; -5;A;America/New_York
HXD;Hilton Head Airport;32,22436; -80,69747;  19; -5;A;America/New_York
HYA;Barnstable Muni Boardman Polando Fld;41,66934; -70,28036;  55; -5;A;America/New_York
HYG;Hydaburg Seaplane Base;55,20639;-132,82833;   0; -9;A;America/Anchorage
HYL;Hollis Seaplane Base;55,48167;-132,64611;   0; -9;A;America/Anchorage
HYS;Hays Regional Airport;38,84220; -99,27320;1998; -6;A;America/Chicago
HZL;Hazleton Municipal;40,98917; -76,00250;1603; -5;A;America/New_York
IAB;Mc Connell Afb;37,62185; -97,26819;1371; -6;A;America/Chicago
IAD;Washington Dulles Intl;38,94453; -77,45581; 313; -5;A;America/New_York
IAG;Niagara Falls Intl;43,10733; -78,94619; 589; -5;A;America/New_York
IAH;George Bush Intercontinental;29,98443; -95,34144;  97; -6;A;America/Chicago
IAN;Bob Baker Memorial Airport;66,97583;-160,43667; 166; -9;A;America/Anchorage
ICT;Wichita Mid Continent;37,64994; -97,43306;1333; -6;A;America/Chicago
ICY;Icy Bay Airport;59,96889;-141,66167;  50; -9;A;America/Anchorage
IDA;Idaho Falls Rgnl;43,51456;-112,07075;4744; -7;A;America/Denver
IDL;Idlewild Intl;40,63975; -73,77892;  13; -5;A;America/New_York
IFP;Laughlin-Bullhead Intl;35,15740;-114,56000; 695; -7;A;America/Phoenix
IGG;Igiugig Airport;59,32400;-155,90200;  90; -9;A;America/Anchorage
IGM;Kingman Airport;35,25950;-113,93800;3449; -7;A;America/Phoenix
IGQ;Lansing Municipal;41,53492; -87,52953; 620; -6;A;America/Chicago
IJD;Windham Airport;41,74403; -72,18022; 246; -5;A;America/New_York
IKK;Greater Kankakee;41,07139; -87,84628; 630; -6;A;America/Chicago
IKO;Nikolski Air Station;52,94167;-168,84889;  77; -9;A;America/Anchorage
IKR;Kirtland Air Force Base;35,04022;-106,60919;5355; -7;A;America/Denver
IKV;Ankeny Regl Airport;41,69139; -93,56639; 910; -6;A;America/Chicago
ILG;New Castle;39,67872; -75,60653;  79; -5;A;America/New_York
ILI;Iliamna;59,75436;-154,91096; 186; -9;A;America/Anchorage
ILM;Wilmington Intl;34,27061; -77,90257;  32; -5;A;America/New_York
ILN;Wilmington Airborne Airpark;39,42792; -83,79212;1077; -5;U;America/New_York
IMM;Immokalee;26,43389; -81,40139;  37; -5;A;America/New_York
IMT;Ford Airport;45,81836; -88,11456;1182; -6;A;America/Chicago
IND;Indianapolis Intl;39,71733; -86,29438; 797; -5;A;America/New_York
INJ;Hillsboro Muni;32,08349; -97,09723; 685; -6;A;America/Chicago
INK;Winkler Co;31,77963;-103,20136;2822; -6;A;America/Chicago
INL;Falls Intl;48,56619; -93,40307;1185; -6;A;America/Chicago
INS;Creech Afb;36,58718;-115,67335;3133; -8;A;America/Los_Angeles
INT;Smith Reynolds;36,13372; -80,22200; 969; -5;A;America/New_York
INW;Winslow-Lindbergh Regional Airport;35,02192;-110,72253;4941; -7;N;America/Phoenix
IOW;Iowa City Municipal Airport;41,63924; -91,54650; 668; -6;A;America/Chicago
IPL;Imperial Co;32,83422;-115,57874; -54; -8;A;America/Los_Angeles
IPT;Williamsport Rgnl;41,24184; -76,92109; 529; -5;A;America/New_York
IRC;Circle City Airport;65,82778;-144,07611; 613; -9;A;America/Anchorage
IRK;Kirksville Regional Airport;40,09350; -92,54490; 966; -6;A;America/Chicago
ISM;Kissimmee Gateway Airport;28,28981; -81,43708;  82; -5;A;America/New_York
ISN;Sloulin Fld Intl;48,17794;-103,64235;1982; -6;A;America/Chicago
ISO;Kinston Regional Jetport;35,33139; -77,60889;  94; -5;A;America/New_York
ISP;Long Island Mac Arthur;40,79525; -73,10022;  99; -5;A;America/New_York
ISW;Alexander Field South Wood County Airport;44,36065; -89,83814;1021; -6;A;America/Chicago
ITH;Ithaca Tompkins Rgnl;42,49103; -76,45844;1099; -5;A;America/New_York
ITO;Hilo Intl;19,72137;-155,04847;  38;-10;N;Pacific/Honolulu
IWD;Gogebic Iron County Airport;46,52747; -90,13140;1230; -6;U;America/Chicago
IWS;West Houston;29,81819; -95,67261; 111; -6;A;America/Chicago
IYK;Inyokern Airport;35,65889;-117,82944;2455; -8;A;America/Los_Angeles
IZG;Eastern Slopes Regional;43,99114; -70,94789; 455; -5;A;America/New_York
JAC;Jackson Hole Airport;43,60733;-110,73775;6451; -7;A;America/Denver
JAN;Jackson Evers Intl;32,31117; -90,07589; 346; -6;A;America/Chicago
JAX;Jacksonville Intl;30,49406; -81,68786;  30; -5;A;America/New_York
JBR;Jonesboro Muni;35,83171; -90,64642; 262; -6;A;America/Chicago
JCI;New Century AirCenter Airport;38,83092; -94,89031;1087; -6;A;America/Chicago
